State,Years,Percentage,Race
Indiana,2017,12.60%,"Hispanic or Latino 
                Origin"
Indiana,2016,11.90%,"Hispanic or Latino 
                Origin"
Indiana,2015,11.90%,"Hispanic or Latino 
                Origin"
Iowa,2022,17.30%,"Hispanic or Latino 
                Origin"
Iowa,2021,18.10%,"Hispanic or Latino 
                Origin"
Iowa,2020,14.30%,"Hispanic or Latino 
                Origin"
Iowa,2019,15.80%,"Hispanic or Latino 
                Origin"
Iowa,2018,12.40%,"Hispanic or Latino 
                Origin"
Iowa,2017,13.10%,"Hispanic or Latino 
                Origin"
Iowa,2016,13.10%,"Hispanic or Latino 
                Origin"
Iowa,2015,11.20%,"Hispanic or Latino 
                Origin"
Kansas,2022,15.60%,"Hispanic or Latino 
                Origin"
Kansas,2021,13.50%,"Hispanic or Latino 
                Origin"
Kansas,2020,13.50%,"Hispanic or Latino 
                Origin"
Kansas,2019,13.00%,"Hispanic or Latino 
                Origin"
Kansas,2018,14.00%,"Hispanic or Latino 
                Origin"
Kansas,2017,11.30%,"Hispanic or Latino 
                Origin"
Kansas,2016,11.60%,"Hispanic or Latino 
                Origin"
Kansas,2015,8.20%,"Hispanic or Latino 
                Origin"
Kentucky,2022,13.50%,"Hispanic or Latino 
                Origin"
Kentucky,2021,16.20%,"Hispanic or Latino 
                Origin"
Kentucky,2020,13.50%,"Hispanic or Latino 
                Origin"
Kentucky,2019,11.30%,"Hispanic or Latino 
                Origin"
Kentucky,2018,12.60%,"Hispanic or Latino 
                Origin"
Kentucky,2017,13.70%,"Hispanic or Latino 
                Origin"
Kentucky,2016,12.20%,"Hispanic or Latino 
                Origin"
Kentucky,2015,12.40%,"Hispanic or Latino 
                Origin"
Louisiana,2022,22.70%,"Hispanic or Latino 
                Origin"
Louisiana,2021,18.70%,"Hispanic or Latino 
                Origin"
Louisiana,2020,19.60%,"Hispanic or Latino 
                Origin"
Louisiana,2019,17.20%,"Hispanic or Latino 
                Origin"
Louisiana,2018,19.30%,"Hispanic or Latino 
                Origin"
Louisiana,2017,18.80%,"Hispanic or Latino 
                Origin"
Louisiana,2016,17.80%,"Hispanic or Latino 
                Origin"
Louisiana,2015,15.90%,"Hispanic or Latino 
                Origin"
Maine,2022,22.90%,"Hispanic or Latino 
                Origin"
Maine,2021,19.40%,"Hispanic or Latino 
                Origin"
Maine,2020,16.50%,"Hispanic or Latino 
                Origin"
Maine,2019,16.30%,"Hispanic or Latino 
                Origin"
Maine,2018,16.30%,"Hispanic or Latino 
                Origin"
Maine,2017,14.20%,"Hispanic or Latino 
                Origin"
Maine,2016,14.50%,"Hispanic or Latino 
                Origin"
Maine,2015,15.60%,"Hispanic or Latino 
                Origin"
Maryland,2022,25.60%,"Hispanic or Latino 
                Origin"
Maryland,2021,35.50%,"Hispanic or Latino 
                Origin"
Maryland,2020,29.50%,"Hispanic or Latino 
                Origin"
Maryland,2019,29.20%,"Hispanic or Latino 
                Origin"
Maryland,2018,23.70%,"Hispanic or Latino 
                Origin"
Maryland,2017,34.90%,"Hispanic or Latino 
                Origin"
Maryland,2016,27.40%,"Hispanic or Latino 
                Origin"
Maryland,2015,46.90%,"Hispanic or Latino 
                Origin"
Massachusetts,2022,22.50%,"Hispanic or Latino 
                Origin"
Massachusetts,2021,22.10%,"Hispanic or Latino 
                Origin"
Massachusetts,2020,20.70%,"Hispanic or Latino 
                Origin"
Massachusetts,2019,19.20%,"Hispanic or Latino 
                Origin"
Massachusetts,2018,21.00%,"Hispanic or Latino 
                Origin"
Massachusetts,2017,18.90%,"Hispanic or Latino 
                Origin"
Massachusetts,2016,18.30%,"Hispanic or Latino 
                Origin"
Massachusetts,2015,19.50%,"Hispanic or Latino 
                Origin"
Michigan,2022,20.90%,"Hispanic or Latino 
                Origin"
Michigan,2021,22.10%,"Hispanic or Latino 
                Origin"
Michigan,2020,18.90%,"Hispanic or Latino 
                Origin"
Michigan,2019,19.50%,"Hispanic or Latino 
                Origin"
Michigan,2018,18.90%,"Hispanic or Latino 
                Origin"
Michigan,2017,16.60%,"Hispanic or Latino 
                Origin"
Michigan,2016,16.20%,"Hispanic or Latino 
                Origin"
Michigan,2015,16.90%,"Hispanic or Latino 
                Origin"
Minnesota,2022,21.50%,"Hispanic or Latino 
                Origin"
Minnesota,2021,19.50%,"Hispanic or Latino 
                Origin"
Minnesota,2020,19.00%,"Hispanic or Latino 
                Origin"
Minnesota,2019,20.50%,"Hispanic or Latino 
                Origin"
Minnesota,2018,19.00%,"Hispanic or Latino 
                Origin"
Minnesota,2017,14.80%,"Hispanic or Latino 
                Origin"
Minnesota,2016,16.40%,"Hispanic or Latino 
                Origin"
Minnesota,2015,15.40%,"Hispanic or Latino 
                Origin"
Mississippi,2022,20.60%,"Hispanic or Latino 
                Origin"
Mississippi,2021,18.60%,"Hispanic or Latino 
                Origin"
Mississippi,2020,19.00%,"Hispanic or Latino 
                Origin"
Mississippi,2019,21.90%,"Hispanic or Latino 
                Origin"
Mississippi,2018,17.30%,"Hispanic or Latino 
                Origin"
Mississippi,2017,15.30%,"Hispanic or Latino 
                Origin"
Mississippi,2016,13.50%,"Hispanic or Latino 
                Origin"
Mississippi,2015,16.90%,"Hispanic or Latino 
                Origin"
Missouri,2022,13.60%,"Hispanic or Latino 
                Origin"
Missouri,2021,16.20%,"Hispanic or Latino 
                Origin"
Missouri,2020,14.60%,"Hispanic or Latino 
                Origin"
Missouri,2019,12.00%,"Hispanic or Latino 
                Origin"
Missouri,2018,13.50%,"Hispanic or Latino 
                Origin"
Missouri,2017,12.20%,"Hispanic or Latino 
                Origin"
Missouri,2016,9.40%,"Hispanic or Latino 
                Origin"
Missouri,2015,9.70%,"Hispanic or Latino 
                Origin"
Montana,2022,21.70%,"Hispanic or Latino 
                Origin"
Montana,2021,22.40%,"Hispanic or Latino 
                Origin"
Montana,2020,21.00%,"Hispanic or Latino 
                Origin"
Montana,2019,19.90%,"Hispanic or Latino 
                Origin"
Montana,2018,22.30%,"Hispanic or Latino 
                Origin"
Montana,2017,18.00%,"Hispanic or Latino 
                Origin"
Montana,2016,19.00%,"Hispanic or Latino 
                Origin"
Montana,2015,15.30%,"Hispanic or Latino 
                Origin"
Nebraska,2022,19.70%,"Hispanic or Latino 
                Origin"
Nebraska,2021,18.70%,"Hispanic or Latino 
                Origin"
Nebraska,2020,23.90%,"Hispanic or Latino 
                Origin"
Nebraska,2019,35.40%,"Hispanic or Latino 
                Origin"
Nebraska,2018,19.80%,"Hispanic or Latino 
                Origin"
Nebraska,2017,10.80%,"Hispanic or Latino 
                Origin"
Nebraska,2016,23.40%,"Hispanic or Latino 
                Origin"
Nebraska,2015,13.20%,"Hispanic or Latino 
                Origin"
Nevada,2022,15.10%,"Hispanic or Latino 
                Origin"
Nevada,2021,13.30%,"Hispanic or Latino 
                Origin"
Nevada,2020,12.50%,"Hispanic or Latino 
                Origin"
Nevada,2019,12.60%,"Hispanic or Latino 
                Origin"
Nevada,2018,12.80%,"Hispanic or Latino 
                Origin"
Nevada,2017,10.90%,"Hispanic or Latino 
                Origin"
Nevada,2016,10.00%,"Hispanic or Latino 
                Origin"
Nevada,2015,8.80%,"Hispanic or Latino 
                Origin"
New Hampshire,2022,10.60%,"Hispanic or Latino 
                Origin"
New Hampshire,2021,13.20%,"Hispanic or Latino 
                Origin"
New Hampshire,2020,10.20%,"Hispanic or Latino 
                Origin"
New Hampshire,2019,9.70%,"Hispanic or Latino 
                Origin"
New Hampshire,2018,11.00%,"Hispanic or Latino 
                Origin"
New Hampshire,2017,9.90%,"Hispanic or Latino 
                Origin"
New Hampshire,2016,8.10%,"Hispanic or Latino 
                Origin"
New Hampshire,2015,7.50%,"Hispanic or Latino 
                Origin"
New Jersey,2022,26.00%,"Hispanic or Latino 
                Origin"
New Jersey,2021,29.00%,"Hispanic or Latino 
                Origin"
New Jersey,2020,23.50%,"Hispanic or Latino 
                Origin"
New Jersey,2019,24.80%,"Hispanic or Latino 
                Origin"
New Jersey,2018,22.80%,"Hispanic or Latino 
                Origin"
New Jersey,2017,23.20%,"Hispanic or Latino 
                Origin"
New Jersey,2016,29.60%,"Hispanic or Latino 
                Origin"
New Jersey,2015,19.90%,"Hispanic or Latino 
                Origin"
New Mexico,2022,20.70%,"Hispanic or Latino 
                Origin"
New Mexico,2021,19.90%,"Hispanic or Latino 
                Origin"
New Mexico,2020,18.10%,"Hispanic or Latino 
                Origin"
New Mexico,2019,18.30%,"Hispanic or Latino 
                Origin"
New Mexico,2018,19.10%,"Hispanic or Latino 
                Origin"
New Mexico,2017,17.60%,"Hispanic or Latino 
                Origin"
New Mexico,2016,14.90%,"Hispanic or Latino 
                Origin"
New Mexico,2015,15.60%,"Hispanic or Latino 
                Origin"
New York,2022,15.80%,"Hispanic or Latino 
                Origin"
New York,2021,17.10%,"Hispanic or Latino 
                Origin"
New York,2020,15.90%,"Hispanic or Latino 
                Origin"
New York,2019,14.70%,"Hispanic or Latino 
                Origin"
New York,2018,14.10%,"Hispanic or Latino 
                Origin"
New York,2017,14.70%,"Hispanic or Latino 
                Origin"
New York,2016,14.30%,"Hispanic or Latino 
                Origin"
New York,2015,12.30%,"Hispanic or Latino 
                Origin"
North Carolina,2022,20.60%,"Hispanic or Latino 
                Origin"
North Carolina,2021,20.80%,"Hispanic or Latino 
                Origin"
North Carolina,2020,18.30%,"Hispanic or Latino 
                Origin"
North Carolina,2019,19.20%,"Hispanic or Latino 
                Origin"
North Carolina,2018,17.90%,"Hispanic or Latino 
                Origin"
North Carolina,2017,16.10%,"Hispanic or Latino 
                Origin"
North Carolina,2016,16.30%,"Hispanic or Latino 
                Origin"
North Carolina,2015,15.70%,"Hispanic or Latino 
                Origin"
North Dakota,2022,17.30%,"Hispanic or Latino 
                Origin"
North Dakota,2021,15.90%,"Hispanic or Latino 
                Origin"
North Dakota,2020,14.40%,"Hispanic or Latino 
                Origin"
North Dakota,2019,14.50%,"Hispanic or Latino 
                Origin"
North Dakota,2018,14.40%,"Hispanic or Latino 
                Origin"
North Dakota,2017,13.20%,"Hispanic or Latino 
                Origin"
North Dakota,2016,13.30%,"Hispanic or Latino 
                Origin"
North Dakota,2015,11.80%,"Hispanic or Latino 
                Origin"
Ohio,2022,13.70%,"Hispanic or Latino 
                Origin"
Ohio,2021,25.20%,"Hispanic or Latino 
                Origin"
Ohio,2020,15.90%,"Hispanic or Latino 
                Origin"
Ohio,2019,15.80%,"Hispanic or Latino 
                Origin"
Ohio,2018,20.50%,"Hispanic or Latino 
                Origin"
Ohio,2017,7.00%,"Hispanic or Latino 
                Origin"
Ohio,2016,17.60%,"Hispanic or Latino 
                Origin"
Ohio,2015,14.10%,"Hispanic or Latino 
                Origin"
Oklahoma,2022,22.70%,"Hispanic or Latino 
                Origin"
Oklahoma,2021,20.50%,"Hispanic or Latino 
                Origin"
Oklahoma,2020,18.80%,"Hispanic or Latino 
                Origin"
Oklahoma,2019,17.40%,"Hispanic or Latino 
                Origin"
Oklahoma,2018,17.20%,"Hispanic or Latino 
                Origin"
Oklahoma,2017,15.60%,"Hispanic or Latino 
                Origin"
Oklahoma,2016,17.10%,"Hispanic or Latino 
                Origin"
Oklahoma,2015,15.70%,"Hispanic or Latino 
                Origin"
Oregon,2022,12.10%,"Hispanic or Latino 
                Origin"
Oregon,2021,14.30%,"Hispanic or Latino 
                Origin"
Oregon,2020,10.60%,"Hispanic or Latino 
                Origin"
Oregon,2019,11.50%,"Hispanic or Latino 
                Origin"
Oregon,2018,10.70%,"Hispanic or Latino 
                Origin"
Oregon,2017,9.50%,"Hispanic or Latino 
                Origin"
Oregon,2016,10.80%,"Hispanic or Latino 
                Origin"
Oregon,2015,10.70%,"Hispanic or Latino 
                Origin"
Pennsylvania,2022,16.50%,"Hispanic or Latino 
                Origin"
Pennsylvania,2021,16.50%,"Hispanic or Latino 
                Origin"
Pennsylvania,2020,14.60%,"Hispanic or Latino 
                Origin"
Pennsylvania,2019,13.60%,"Hispanic or Latino 
                Origin"
Pennsylvania,2018,14.00%,"Hispanic or Latino 
                Origin"
Pennsylvania,2017,14.20%,"Hispanic or Latino 
                Origin"
Pennsylvania,2016,12.20%,"Hispanic or Latino 
                Origin"
Pennsylvania,2015,14.70%,"Hispanic or Latino 
                Origin"
Rhode Island,2022,17.70%,"Hispanic or Latino 
                Origin"
Rhode Island,2021,18.50%,"Hispanic or Latino 
                Origin"
Rhode Island,2020,16.30%,"Hispanic or Latino 
                Origin"
Rhode Island,2019,15.00%,"Hispanic or Latino 
                Origin"
Rhode Island,2018,16.20%,"Hispanic or Latino 
                Origin"
Rhode Island,2017,13.70%,"Hispanic or Latino 
                Origin"
Rhode Island,2016,13.60%,"Hispanic or Latino 
                Origin"
Rhode Island,2015,12.60%,"Hispanic or Latino 
                Origin"
South Carolina,2022,20.30%,"Hispanic or Latino 
                Origin"
South Carolina,2021,13.10%,"Hispanic or Latino 
                Origin"
South Carolina,2020,14.40%,"Hispanic or Latino 
                Origin"
South Carolina,2019,14.00%,"Hispanic or Latino 
                Origin"
South Carolina,2018,14.90%,"Hispanic or Latino 
                Origin"
South Carolina,2017,12.80%,"Hispanic or Latino 
                Origin"
South Carolina,2016,13.20%,"Hispanic or Latino 
                Origin"
South Carolina,2015,12.90%,"Hispanic or Latino 
                Origin"
South Dakota,2022,19.60%,"Hispanic or Latino 
                Origin"
South Dakota,2021,18.90%,"Hispanic or Latino 
                Origin"
South Dakota,2020,15.50%,"Hispanic or Latino 
                Origin"
South Dakota,2019,15.70%,"Hispanic or Latino 
                Origin"
South Dakota,2018,14.70%,"Hispanic or Latino 
                Origin"
South Dakota,2017,12.70%,"Hispanic or Latino 
                Origin"
South Dakota,2016,11.60%,"Hispanic or Latino 
                Origin"
South Dakota,2015,12.00%,"Hispanic or Latino 
                Origin"
Tennessee,2022,16.70%,"Hispanic or Latino 
                Origin"
Tennessee,2021,15.80%,"Hispanic or Latino 
                Origin"
Tennessee,2020,16.10%,"Hispanic or Latino 
                Origin"
Tennessee,2019,27.80%,"Hispanic or Latino 
                Origin"
Tennessee,2018,16.80%,"Hispanic or Latino 
                Origin"
Tennessee,2017,15.60%,"Hispanic or Latino 
                Origin"
Tennessee,2016,17.00%,"Hispanic or Latino 
                Origin"
Tennessee,2015,19.40%,"Hispanic or Latino 
                Origin"
Texas,2022,18.10%,"Hispanic or Latino 
                Origin"
Texas,2021,18.00%,"Hispanic or Latino 
                Origin"
Texas,2020,14.70%,"Hispanic or Latino 
                Origin"
Texas,2019,16.60%,"Hispanic or Latino 
                Origin"
Texas,2018,16.30%,"Hispanic or Latino 
                Origin"
Texas,2017,13.20%,"Hispanic or Latino 
                Origin"
Texas,2016,13.50%,"Hispanic or Latino 
                Origin"
Texas,2015,12.20%,"Hispanic or Latino 
                Origin"
Utah,2022,17.40%,"Hispanic or Latino 
                Origin"
Utah,2021,16.20%,"Hispanic or Latino 
                Origin"
Utah,2020,14.50%,"Hispanic or Latino 
                Origin"
Utah,2019,14.80%,"Hispanic or Latino 
                Origin"
Utah,2018,13.70%,"Hispanic or Latino 
                Origin"
Utah,2017,13.10%,"Hispanic or Latino 
                Origin"
Utah,2016,13.10%,"Hispanic or Latino 
                Origin"
Utah,2015,12.00%,"Hispanic or Latino 
                Origin"
Vermont,2022,17.70%,"Hispanic or Latino 
                Origin"
Vermont,2021,18.80%,"Hispanic or Latino 
                Origin"
Vermont,2020,15.80%,"Hispanic or Latino 
                Origin"
